Title: The Palomar Transient Factory Core-Collapse Supernova Host-Galaxy 
       Sample.I. Host-Galaxy Distribution Functions and Environment 
       Dependence of CCSNe 
Authors: Schulze S., Yaron O., Sollerman J., Leloudas G., Gal A., Wright A.H., 
         Lunnan R., Gal-Yam A., Ofek E.O., Perley D.A., Filippenko A.V.,
         Kasliwal M.M., Kulkarni S.R., Neill J.D., Nugent P.E., Quimby R.M.,
         Sullivan M., Strothjohann N.L., Arcavi I., Ben-Ami S., Bianco F., 
         Bloom J.S., De K., Fraser M., Fremling C.U., Horesh A., Johansson J.,
         Kelly P.L., Knevzevic N., Knevzevic S., Maguire K., Nyholm A., 
         Papadogiannakis S., Petrushevska T., Rubin A., Yan L., Yang Y.,
         Adams S.M., Bufano F., Clubb K.I., Foley R.J., Green Y., Harmanen J.,
         Ho A.Y.Q., Hook I.M., Hosseinzadeh G., Howell D.A., Kong A.K.H., 
         Kotak R., Matheson T., McCully C., Milisavljevic D., Pan Y.-C., 
         Poznanski D., Shivvers I., Velzen S.v., Verbeek K.K. 
Table: Photometry of the PTF CCSN host galaxies
================================================================================
Byte-by-byte Description of file: apjsabff5et9_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID       Object identifier
  11- 19 A9     ---     Tel/Sur  Telescope/Survey designation
  21- 29 A9     ---     Inst     Instrument 
  31- 35 A5     ---     Filter   Filter
  37- 41 F5.2   mag     mag      Observed AB magnitude in Filter (1)
  43- 48 F6.2   mag   e_mag      ?=-99 Uncertainty in mag
  50- 76 A27    ---     Ref      Reference; This paper or ADS bibcode
--------------------------------------------------------------------------------
Note (1): Not corrected for reddening.
--------------------------------------------------------------------------------
PTF09due  PANSTARRS           g     14.31   0.06 This paper                  
PTF09due  PANSTARRS           r     13.89   0.06 This paper                  
PTF09due  PANSTARRS           i     13.67   0.06 This paper                  
PTF09due  PANSTARRS           z     13.55   0.08 This paper                  
PTF09due  PANSTARRS           y     13.41   0.09 This paper                  
PTF09due  WISE                W1    13.55   0.1  This paper                  
PTF09due  WISE                W2    14.01   0.1  This paper                  
PTF09dxv  SDSS                u     17.42   0.06 This paper                  
PTF09dxv  SDSS                g     16.2    0.05 This paper                  
PTF09dxv  SDSS                r     15.64   0.05 This paper                  
PTF09dxv  SDSS                i     15.27   0.06 This paper                  
PTF09dxv  SDSS                z     15.02   0.06 This paper                  
PTF09dxv  PANSTARRS           g     16.19   0.06 This paper                  
PTF09dxv  PANSTARRS           r     15.64   0.06 This paper                  
PTF09dxv  PANSTARRS           i     15.36   0.05 This paper                  
PTF09dxv  PANSTARRS           z     15.23   0.06 This paper                  
PTF09dxv  PANSTARRS           y     15.07   0.08 This paper                  
PTF09dxv  2MASS               J     14.81   0.07 This paper                  
PTF09dxv  2MASS               H     14.68   0.07 This paper                  
PTF09dxv  2MASS               Ks    14.68   0.11 This paper                  
PTF09dzt  GALEX               FUV   20.16   0.26 This paper                  
PTF09dzt  SDSS                u     19.39   0.16 This paper                  
PTF09dzt  SDSS                g     18.33   0.07 This paper                  
PTF09dzt  SDSS                r     17.78   0.06 This paper                  
PTF09dzt  SDSS                i     17.4    0.06 This paper                  
PTF09dzt  SDSS                z     17.2    0.1  This paper                  
PTF09dzt  PANSTARRS           g     18.16   0.07 This paper                  
PTF09dzt  PANSTARRS           r     17.78   0.06 This paper                  
PTF09dzt  PANSTARRS           i     17.49   0.08 This paper                  
PTF09dzt  PANSTARRS           z     17.44   0.08 This paper                  
PTF09dzt  PANSTARRS           y     17.13   0.13 This paper                  
PTF09dzt  2MASS               J     17.03   0.15 This paper                  
PTF09dzt  2MASS               H     16.68   0.1  This paper                  
PTF09dzt  2MASS               Ks    16.43   0.12 This paper                  
PTF09dzt  WISE                W1    17.69   0.16 This paper                  
PTF09dzt  WISE                W2    18.21   0.17 This paper                  
PTF09ecm  SDSS                u     17.37   0.07 This paper                  
PTF09ecm  SDSS                g     16.24   0.05 This paper                  
PTF09ecm  SDSS                r     15.72   0.06 This paper                  
PTF09ecm  SDSS                i     15.44   0.05 This paper                  
PTF09ecm  SDSS                z     15.28   0.06 This paper                  
PTF09ecm  PANSTARRS           g     16.37   0.06 This paper                  
PTF09ecm  PANSTARRS           r     15.86   0.05 This paper                  
PTF09ecm  PANSTARRS           i     15.6    0.05 This paper                  
PTF09ecm  PANSTARRS           z     15.48   0.06 This paper                  
PTF09ecm  PANSTARRS           y     15.18   0.19 This paper                  
PTF09ecm  2MASS               J     15.25   0.07 This paper                  
PTF09ecm  2MASS               H     14.6    0.07 This paper                  
PTF09ecm  2MASS               Ks    15.03   0.14 This paper                  
PTF09ecm  WISE                W1    15.65   0.1  This paper                  
PTF09ecm  WISE                W2    16.28   0.11 This paper                  
PTF09eqb  LS                  g     22.75   0.14 This paper                  
PTF09eqb  LS                  r     22.27   0.08 This paper                  
PTF09eqb  LS                  z     22.14   0.2  This paper                  
PTF09eqb  PANSTARRS           i     21.98   0.08 This paper                  
PTF09fae  GALEX               FUV   20.73   0.32 This paper                  
PTF09fae  GALEX               NUV   21.09   0.12 This paper                  
PTF09fae  SDSS                u     20.49   0.11 This paper                  
PTF09fae  SDSS                g     19.97   0.07 This paper                  
PTF09fae  SDSS                r     19.81   0.07 This paper                  
PTF09fae  SDSS                i     19.71   0.09 This paper                  
PTF09fae  PANSTARRS           g     20.0    0.08 This paper                  
PTF09fae  PANSTARRS           r     19.84   0.09 This paper                  
PTF09fae  PANSTARRS           i     19.7    0.08 This paper                  
PTF09fae  PANSTARRS           z     19.72   0.12 This paper                  
PTF09fae  PANSTARRS           y     19.65   0.25 This paper                  
PTF09fae  WISE                W1    20.34   0.35 This paper                  
PTF09fae  WISE                W2    21.31   0.56 This paper                  
PTF09fbf  GALEX               FUV   17.24   0.1  This paper                  
PTF09fbf  GALEX               NUV   16.65   0.1  This paper                  
PTF09fbf  SDSS                u     15.85   0.07 This paper                  
PTF09fbf  SDSS                g     14.79   0.06 This paper                  
PTF09fbf  SDSS                r     14.31   0.06 This paper                  
PTF09fbf  SDSS                i     14.04   0.06 This paper                  
PTF09fbf  SDSS                z     13.8    0.08 This paper                  
PTF09fbf  PANSTARRS           g     14.83   0.06 This paper                  
PTF09fbf  PANSTARRS           r     14.41   0.07 This paper                  
PTF09fbf  PANSTARRS           i     14.2    0.06 This paper                  
PTF09fbf  PANSTARRS           z     14.09   0.06 This paper                  
PTF09fbf  PANSTARRS           y     14.0    0.1  This paper                  
