,bins_logM_,quant16_m,quant50_m,quant84_m,quant05_m,quant95_m,quant01_m,quant99_m,quant16_s,quant50_s,quant84_s,quant05_s,quant95_s,quant01_s,quant99_s
49,6.767676767676767,0.0,0.0,6.324555320336759e-05,0.0,0.00013597793938724032,0.0,0.00017077248048207383,0.0,0.0,0.0003478505426185217,0.0,0.0005597231458498032,0.0,0.0008222997090842341
50,6.767676767676767,0.0,0.0,9.486832980505138e-05,0.0,0.0001486997824140978,0.0,0.0001865870310605762,0.0,0.0,0.0004110960958218893,0.0,0.0006103923207986811,0.0,0.0008950384198234278
51,6.838383838383838,0.0,0.0,9.486832980505138e-05,0.0,0.0001486997824140978,0.0,0.0001865870310605762,0.0,0.0,0.0004110960958218893,0.0,0.0006103923207986811,0.0,0.0008950384198234278
52,6.838383838383838,0.0,0.0,9.486832980505138e-05,0.0,0.0001644384383287557,0.0,0.00020555437246626556,0.0,0.0,0.00044271887242357315,0.0,0.0006799624293223856,0.0,0.00095196890453944
53,6.909090909090909,0.0,0.0,9.486832980505138e-05,0.0,0.0001644384383287557,0.0,0.00020555437246626556,0.0,0.0,0.00044271887242357315,0.0,0.0006799624293223856,0.0,0.00095196890453944
54,6.909090909090909,0.0,0.0,0.00012649110640673518,0.0,0.00017708754896942925,0.0,0.000221362598489447,0.0,0.0,0.0005059644256269407,0.0,0.0007399729724794008,0.0,0.001021494741175898
55,6.979797979797979,0.0,0.0,0.00012649110640673518,0.0,0.00017708754896942925,0.0,0.000221362598489447,0.0,0.0,0.0005059644256269407,0.0,0.0007399729724794008,0.0,0.001021494741175898
56,6.979797979797979,-0.0,0.0,0.00012649110640673518,-7.905694150420949e-06,0.00019448007610035531,-7.905694150420949e-06,0.0002450891677736912,-3.1622776601683795e-05,0.001,0.0005375872022286245,-3.952847075210475e-05,0.0007636900549306636,-3.952847075210475e-05,0.0010925890675317984
57,7.05050505050505,-0.0,0.0,0.00012649110640673518,-7.905694150420949e-06,0.00019448007610035531,-7.905694150420949e-06,0.0002450891677736912,-3.1622776601683795e-05,0.001,0.0005375872022286245,-3.952847075210475e-05,0.0007636900549306636,-3.952847075210475e-05,0.0010925890675317984
58,7.05050505050505,-3.1622776601683795e-05,0.001,0.00012649110640673518,-2.2135943621178656e-05,0.00019620667970280742,-2.2135943621178656e-05,0.00026247853262695693,-0.00012649110640673518,0.004,0.0005059644256269407,-0.00011542313459614583,0.0007638355197030315,-0.00011542313459614583,0.001102094874178266
59,7.121212121212121,-3.1622776601683795e-05,0.001,0.00012649110640673518,-2.2135943621178656e-05,0.00019620667970280742,-2.2135943621178656e-05,0.00026247853262695693,-0.00012649110640673518,0.004,0.0005059644256269407,-0.00011542313459614583,0.0007638355197030315,-0.00011542313459614583,0.001102094874178266
60,7.121212121212121,-3.1622776601683795e-05,0.001,0.00012649110640673518,-4.110960958218893e-05,0.0002023857702507763,-4.110960958218893e-05,0.0002719716901627829,-0.00018973665961010276,0.006,0.0005375872022286245,-0.00018024982662959765,0.0007749034915136211,-0.00018024982662959765,0.0011068572643344818
61,7.191919191919192,-3.1622776601683795e-05,0.001,0.00012649110640673518,-4.110960958218893e-05,0.0002023857702507763,-4.110960958218893e-05,0.0002719716901627829,-0.00018973665961010276,0.006,0.0005375872022286245,-0.00018024982662959765,0.0007749034915136211,-0.00018024982662959765,0.0011068572643344818
62,7.191919191919192,-6.324555320336759e-05,0.002,0.00012649110640673518,-5.692099788303083e-05,0.00020238577025077632,-5.692099788303083e-05,0.00030042270227131695,-0.00025298221281347036,0.008,0.0005059644256269407,-0.00025930676813380716,0.0008033639904551365,-0.00025930676813380716,0.0011416170203750503
